Unit,Move,Combat,Defense,Morale,Range,Points,Keyword,Description
,,,,,,15,Heavy Fire,"When a unit with this keyword makes a ranged combat attack and causes stress, the defending unit takes 2 additional stress."
,,,,,,20,Hive Mind,"After the Push Phase, but before the Morale Phase, units with this keyword may move up to half of their stress, rounded down, to another unit with this keyword. A unit may only receive or remove stress once per round in this way."
,,,,,,-20,Immobile,Reduce this unit’s Movement speed to 0”.
,,,,,,15,Inspiring,Friendly units within 5” of the unit with this keyword gain +1 to their Morale anytime the unit makes a morale check.
,,,,,,0,Leader,"Increase this unit’s Morale by 2. During the Morale Phase, any friendly unit(s) within 5” of this unit, may use this unit’s morale value for its morale check. May only be taken once per army."
,,,,,,10,Lifesteal,"When a unit makes a Close Combat attack, after stress has been resolved, this unit may roll d10 equal to the amount of stress given to the enemy unit. For each 8+, remove 1 stress from this unit."
,,,,,,10,Long Range Weapons,"Add 5” inches to this unit’s Range. (May be taken up to twice, paying the cost of the upgrade each time). This keyword costs 20 points if coupled with the flame weapons keyword."
,,,,,,20,Mechanic,"This unit may remove 2 stress from a friendly vehicle unit within 1"". You may only perform this actions once per round."
,,,,,,20,Medic,"This unit may remove 3 stress from a friendly infantry unit within 1"". You may only perform this action once per round."
,,,,,,10,Pathfinder,This unit ignores movement penalties while moving through rough terrain.
,,,,,,15,Regeneration,"At the end of the Morale Phase, this unit may roll a number of d10 equal to its morale value. For each 8+, remove 1 stress from this unit."
,,,,,,-10,Slow,Decrease this unit’s Move stat by 2”.
,,,,,,10,Slow ++,"Enemy unit within LOS loses 2” to their Move, until the end of the round."
,,,,,,10,Smite ++,Target enemy unit in LOS makes 5 defense rolls.
,,,,,,15,Soothe ++,Remove 3 stress from a friendly unit within LOS.
,,,,,,15,Steady,"Units with this keyword, may use an action to increase their Range Combat value +1 until the end of the round."
,,,,,,25,Stoic,Friendly units within 10” of the unit with this keyword gain +1 to their Morale anytime the unit makes a morale check.
,,,,,,15,Summon ++,"During the deplyment phase, elect a summoned unit. This unit does not deploy with your army. Instead, they may be placed anywhere within LOS of the summoning unit."
,,,,,,5,Swarm,Units with the same keyword and within 3” of each other may activate as one unit.
,,,,,,15,Take Aim ++,Friendly unit within LOS gains +2 to their next Ranged Combat attack.
,,,,,,15,Terror,"After a unit with this keyword has made a Close Combat attack and has dealt stress, the enemy unit must immediately perform a Morale check."
,,,,,,10,Transport,"Before the game, you may denote one infantry unit to be transported by this vehicle. The transported unit gains the Disembark keyword. 

Disembark: This unit uses its first action to be placed in base contact with the vehicle transporting this unit. This unit may then take a second action as normal. NOTE: This action is the only action this unit can perform on their activation. Once an infantry unit has used this keyword, it not longer has said keyword.
"
,,,,,,40,Turn the Tides ++,Target one friendly unit within LOS that has an activation token and remove it - OR - target one enemy unit within LOS without an activation token and place one on the targeted unit.  
,,,,,,20,War Weary ++,Force an enemy unit within LOS to immediately make a morale check.
,,,,,,20,Warlord,Increase your leader’s Morale leadership area of effect to 10”.
,,,,,,25,Warp,"During the deplyment phase, this unit does not deploy with your army. Instead, they may be placed anywhere within 10” and LOS of your leader any time after round 1. May not warp into Close Combat."
,,,,,,15,Weapon Overload,"Each unmodified 10 in this unit’s attack pool counts as an additional successful hit. Additionally, this unit receives one stress for each unmodified 1 in this attack pool. Note: A unit with this weapon trait may choose if they want to use this ability in each attack, but must declare so prior to rolling dice for the attack."
,,,,,,10,Zealous,"Once this unit's stress is equal to or greater than their Morale value, they increase their Combat value by 1."
